young_player,role_comp,cosine_similarity,euclidean_distance
Brice Sensabaugh,Malik Monk,0.6879,0.276
Brice Sensabaugh,Jordan Clarkson,0.3239,0.3832
Brice Sensabaugh,Ty Jerome,0.2666,0.4078
Brice Sensabaugh,Michael Porter Jr.,0.2053,0.4585
Brice Sensabaugh,Caris LeVert,0.1466,0.3874
Brice Sensabaugh,CJ McCollum,0.1449,0.4443
Brice Sensabaugh,Dennis Schröder,0.1112,0.5727
Brice Sensabaugh,P.J. Washington,0.0913,0.4338
Brice Sensabaugh,John Collins,0.0638,0.503
Brice Sensabaugh,Khris Middleton,0.0564,0.5288
Brice Sensabaugh,Miles Bridges,0.0149,0.3496
Brice Sensabaugh,Nickeil Alexander-Walker,0.0111,0.3786
Brice Sensabaugh,Fred VanVleet,-0.0998,0.5165
Brice Sensabaugh,Dillon Brooks,-0.1917,0.412
Brice Sensabaugh,Cameron Johnson,-0.202,0.64
Brice Sensabaugh,Mikal Bridges,-0.4436,0.5877
Brice Sensabaugh,Tobias Harris,-0.4636,0.5035
Brice Sensabaugh,Jerami Grant,-0.5501,0.5425
Brice Sensabaugh,Aaron Gordon,-0.6233,0.467
GG Jackson,Miles Bridges,0.6429,0.2026
GG Jackson,Malik Monk,0.3918,0.365
GG Jackson,Jordan Clarkson,0.2759,0.3788
GG Jackson,P.J. Washington,0.2308,0.3803
GG Jackson,Michael Porter Jr.,0.2228,0.4381
GG Jackson,John Collins,0.165,0.4601
GG Jackson,Nickeil Alexander-Walker,0.1584,0.3236
GG Jackson,Caris LeVert,0.0823,0.3775
GG Jackson,Dillon Brooks,0.0039,0.3494
GG Jackson,Jerami Grant,-0.01,0.4135
GG Jackson,Cameron Johnson,-0.0171,0.5761
GG Jackson,CJ McCollum,-0.0182,0.4614
GG Jackson,Ty Jerome,-0.1236,0.4779
GG Jackson,Dennis Schröder,-0.1635,0.6223
GG Jackson,Fred VanVleet,-0.2095,0.5157
GG Jackson,Aaron Gordon,-0.2456,0.3801
GG Jackson,Tobias Harris,-0.2615,0.4385
GG Jackson,Mikal Bridges,-0.325,0.5364
GG Jackson,Khris Middleton,-0.396,0.6074
Jabari Smith Jr.,Cameron Johnson,0.7484,0.3397
Jabari Smith Jr.,Mikal Bridges,0.7411,0.2948
Jabari Smith Jr.,Jerami Grant,0.715,0.2975
Jabari Smith Jr.,P.J. Washington,0.5744,0.3614
Jabari Smith Jr.,Dillon Brooks,0.5263,0.3616
Jabari Smith Jr.,Michael Porter Jr.,0.3617,0.4738
Jabari Smith Jr.,Aaron Gordon,0.3248,0.4097
Jabari Smith Jr.,Tobias Harris,0.315,0.4319
