young_player,role_comp,cosine_similarity,euclidean_distance
Brandin Podziemski,Payton Pritchard,0.6413,0.2632
Brandin Podziemski,Mikal Bridges,0.5589,0.3656
Brandin Podziemski,CJ McCollum,0.2546,0.2926
Brandin Podziemski,Josh Hart,0.1917,0.298
Brandin Podziemski,Donte DiVincenzo,0.007,0.3528
Brandin Podziemski,Bruce Brown,-0.0384,0.4642
Brandin Podziemski,Ty Jerome,-0.04,0.3527
Brandin Podziemski,Caris LeVert,-0.1372,0.3129
Brandin Podziemski,Malik Monk,-0.1861,0.3699
Brandin Podziemski,Dennis Schröder,-0.2389,0.5055
Brandin Podziemski,Marcus Smart,-0.5272,0.5336
Brandin Podziemski,Derrick White,-0.619,0.4914
Isaiah Collier,Dennis Schröder,0.7583,0.4715
Isaiah Collier,Caris LeVert,0.6608,0.5933
Isaiah Collier,Ty Jerome,0.5189,0.603
Isaiah Collier,Marcus Smart,0.409,0.6391
Isaiah Collier,Malik Monk,0.3493,0.6503
Isaiah Collier,Derrick White,0.0539,0.744
Isaiah Collier,CJ McCollum,-0.1122,0.7604
Isaiah Collier,Bruce Brown,-0.2923,0.8901
Isaiah Collier,Payton Pritchard,-0.4034,0.8891
Isaiah Collier,Donte DiVincenzo,-0.4539,0.8466
Isaiah Collier,Josh Hart,-0.5276,0.8397
Isaiah Collier,Mikal Bridges,-0.6267,1.0292
Jamal Shead,Dennis Schröder,0.6588,0.372
Jamal Shead,Marcus Smart,0.5426,0.4206
Jamal Shead,Caris LeVert,0.4815,0.4286
Jamal Shead,Ty Jerome,0.4626,0.4303
Jamal Shead,Malik Monk,0.1566,0.5069
Jamal Shead,Derrick White,-0.1119,0.6025
Jamal Shead,Bruce Brown,-0.1133,0.6556
Jamal Shead,Donte DiVincenzo,-0.1342,0.5815
Jamal Shead,Payton Pritchard,-0.2737,0.6652
Jamal Shead,CJ McCollum,-0.3667,0.616
Jamal Shead,Josh Hart,-0.3928,0.6136
Jamal Shead,Mikal Bridges,-0.7053,0.8544
Reed Sheppard,Marcus Smart,0.7037,0.2822
Reed Sheppard,Donte DiVincenzo,0.634,0.2832
Reed Sheppard,Bruce Brown,0.3096,0.4436
Reed Sheppard,Derrick White,0.2811,0.4053
Reed Sheppard,Caris LeVert,0.15,0.3792
Reed Sheppard,Josh Hart,-0.0124,0.4338
Reed Sheppard,Ty Jerome,-0.0212,0.447
Reed Sheppard,Mikal Bridges,-0.1546,0.6133
Reed Sheppard,Dennis Schröder,-0.3977,0.6334
Reed Sheppard,Malik Monk,-0.4468,0.5203
Reed Sheppard,Payton Pritchard,-0.5224,0.6162
Reed Sheppard,CJ McCollum,-0.577,0.5412
