young_player,role_comp,cosine_similarity,euclidean_distance
Kel'el Ware,Andre Drummond,0.8245,0.508
Kel'el Ware,Nikola Vučević,0.6119,0.268
Kel'el Ware,Ivica Zubac,0.5614,0.3125
Kel'el Ware,Robert Williams III,0.542,0.3153
Kel'el Ware,Jusuf Nurkić,0.4568,0.352
Kel'el Ware,Mitchell Robinson,0.3126,0.4135
Kel'el Ware,Bobby Portis,0.2724,0.3517
Kel'el Ware,Isaiah Hartenstein,0.1738,0.3796
Kel'el Ware,Daniel Gafford,-0.0954,0.4514
Kel'el Ware,John Collins,-0.6026,0.4639
Kel'el Ware,Naz Reid,-0.6582,0.552
Kel'el Ware,Aaron Gordon,-0.6719,0.7192
Kel'el Ware,P.J. Washington,-0.7094,0.7596
Kel'el Ware,Brook Lopez,-0.7128,0.732
Kel'el Ware,Luke Kornet,-0.7179,0.5965
Kyle Filipowski,Jusuf Nurkić,0.6587,0.2622
Kyle Filipowski,Nikola Vučević,0.5809,0.2331
Kyle Filipowski,Bobby Portis,0.5148,0.2357
Kyle Filipowski,Isaiah Hartenstein,0.4828,0.2498
Kyle Filipowski,Andre Drummond,0.3765,0.6893
Kyle Filipowski,Ivica Zubac,0.088,0.3938
Kyle Filipowski,Naz Reid,0.0638,0.3505
Kyle Filipowski,P.J. Washington,-0.1164,0.5672
Kyle Filipowski,John Collins,-0.1427,0.3165
Kyle Filipowski,Aaron Gordon,-0.2182,0.5556
Kyle Filipowski,Robert Williams III,-0.3285,0.4622
Kyle Filipowski,Daniel Gafford,-0.3701,0.425
Kyle Filipowski,Mitchell Robinson,-0.3997,0.5128
Kyle Filipowski,Brook Lopez,-0.4605,0.6041
Kyle Filipowski,Luke Kornet,-0.6504,0.4984
Leonard Miller,Aaron Gordon,0.8873,0.2303
Leonard Miller,John Collins,0.8283,0.1914
Leonard Miller,P.J. Washington,0.7361,0.3369
Leonard Miller,Luke Kornet,0.6688,0.2576
Leonard Miller,Naz Reid,0.668,0.2447
Leonard Miller,Brook Lopez,0.605,0.3703
Leonard Miller,Bobby Portis,0.3775,0.3192
Leonard Miller,Nikola Vučević,-0.2446,0.4646
Leonard Miller,Daniel Gafford,-0.3355,0.489
Leonard Miller,Mitchell Robinson,-0.388,0.5768
Leonard Miller,Ivica Zubac,-0.4562,0.5601
Leonard Miller,Robert Williams III,-0.4569,0.5532
Leonard Miller,Andre Drummond,-0.7872,1.0092
Leonard Miller,Jusuf Nurkić,-0.8057,0.6308
Leonard Miller,Isaiah Hartenstein,-0.8412,0.5515
